observationDate,birdCount
1992-01-01,0.0
1992-01-04,0.0
1992-01-11,1350.0
1992-01-16,14.0
1992-01-19,0.0
1992-01-24,4.0
1992-01-25,12.0
1992-01-26,368.0
1992-02-01,112.0
1992-02-05,3.0
1992-02-06,80.0
1992-02-09,0.0
1992-02-22,105.0
1992-02-24,73.0
1992-02-25,10.0
1992-02-27,135.0
1992-03-01,7.0
1992-03-02,22.0
1992-03-09,12.0
1992-03-10,605.0
1992-03-14,14112.0
1992-03-30,42.0
1992-03-31,15.0
1992-04-02,7.0
1992-04-04,27.0
1992-04-05,144.0
1992-04-11,0.0
1992-04-12,38.0
1992-04-19,0.0
1992-04-28,8.0
1992-04-30,0.0
1992-05-02,4.0
1992-05-03,0.0
1992-05-09,0.0
1992-05-10,8496.0
1992-05-13,0.0
1992-05-15,880.0
1992-05-16,24.0
1992-05-24,96.0
1992-05-29,0.0
1992-06-20,1450.0
1992-06-27,2.0
1992-07-01,0.0
1992-07-05,0.0
1992-07-17,0.0
1992-07-18,0.0
1992-07-25,0.0
1992-07-26,0.0
1992-08-04,0.0
1992-08-15,0.0
1992-08-21,0.0
1992-08-26,0.0
1992-09-09,36.0
1992-09-13,5735.0
1992-09-14,10.0
1992-09-16,4767.0
1992-09-18,1.0
1992-09-19,23875.0
1992-09-20,3.0
1992-09-21,0.0
1992-09-27,24.0
1992-10-05,2508.0
1992-10-18,20.0
1992-10-25,575.0
1992-11-01,84.0
1992-11-08,136.0
1992-11-11,9.0
1992-11-14,4.0
1992-11-15,4.0
1992-11-16,0.0
1992-11-18,101.0
1992-12-22,1366.0
1992-12-25,0.0
1992-12-26,946.0
1992-12-30,6.0
1993-01-01,40.0
1993-01-02,1278.0
1993-01-08,159.0
1993-01-09,612.0
1993-01-11,189.0
1993-01-12,567.0
1993-01-15,6.0
1993-01-16,70.0
1993-01-20,42.0
1993-01-23,60.0
1993-01-24,0.0
1993-01-30,180.0
1993-02-01,26.0
1993-02-06,11.0
1993-02-07,10395.0
1993-02-14,168.0
1993-02-28,12.0
1993-03-01,15.0
1993-03-02,0.0
1993-03-11,60.0
1993-03-15,54.0
1993-03-18,153.0
1993-03-23,1026.0
1993-03-30,11712.0
1993-04-15,5.0
1993-04-16,11.0
1993-04-17,680.0
1993-04-23,45.0
1993-04-26,240.0
1993-05-01,29.0
1993-05-13,9.0
1993-05-16,1296.0
1993-05-20,3.0
1993-05-21,6.0
1993-05-22,0.0
1993-05-23,123.0
1993-05-24,7.0
1993-05-28,1.0
1993-05-29,33.0
1993-06-01,13.0
1993-06-06,10.0
1993-06-11,6.0
1993-06-12,116.0
1993-06-16,231.0
1993-06-23,18.0
1993-06-24,0.0
1993-06-28,0.0
1993-07-01,52.0
1993-07-03,0.0
1993-07-04,70.0
1993-07-08,0.0
1993-07-09,23.0
1993-07-18,60.0
1993-07-26,0.0
1993-07-27,0.0
1993-08-01,18.0
1993-08-02,19.0
1993-08-08,28.0
1993-08-17,0.0
1993-08-25,0.0
1993-08-28,1250.0
1993-09-06,0.0
1993-09-08,0.0
1993-09-09,26.0
1993-09-12,6847.0
1993-09-25,51.0
1993-09-26,96.0
1993-10-20,66.0
1993-11-11,17.0
1993-11-14,105.0
1993-11-16,12.0
1993-11-24,351.0
1993-12-07,76.0
1993-12-13,50.0
1993-12-30,18.0
1994-01-01,24.0
1994-01-09,1444.0
1994-01-10,168.0
1994-01-17,27.0
1994-01-26,560.0
1994-01-30,0.0
1994-02-06,10.0
1994-02-07,16.0
1994-02-13,0.0
1994-02-18,17.0
1994-02-25,3.0
1994-02-26,3.0
1994-02-27,16.0
1994-03-05,33976.0
1994-03-15,8.0
1994-03-18,3.0
1994-03-19,9.0
1994-03-22,7.0
1994-03-24,2.0
1994-04-09,0.0
1994-04-15,0.0
1994-04-20,9.0
1994-04-21,18.0
1994-04-27,50.0
1994-05-02,22.0
1994-05-04,5.0
1994-05-07,12.0
1994-05-09,12.0
1994-05-11,2.0
1994-05-12,3832.0
1994-05-13,2.0
1994-05-14,0.0
1994-05-15,3945.0
1994-05-16,2.0
1994-05-18,120.0
1994-05-19,0.0
1994-05-30,325.0
1994-06-08,32.0
1994-06-10,0.0
1994-06-15,0.0
1994-07-02,40.0
1994-07-05,572.0
1994-07-07,0.0
1994-07-09,0.0
1994-07-10,28.0
1994-07-14,7.0
1994-07-17,3.0
1994-07-18,9792.0
1994-07-23,88.0
1994-07-31,525.0
1994-08-05,24.0
1994-08-07,3.0
1994-08-08,0.0
1994-08-09,5.0
1994-08-17,192.0
1994-08-27,0.0
1994-09-06,3.0
1994-09-07,8.0
1994-09-10,0.0
1994-09-13,1686.0
1994-09-14,35.0
1994-09-26,0.0
1994-09-30,6.0
1994-10-02,0.0
1994-10-04,27.0
1994-10-23,3090.0
1994-10-30,77.0
1994-11-25,0.0
1994-12-25,4928.0
1995-01-01,0.0
1995-01-02,200.0
1995-01-08,754.0
1995-01-13,0.0
1995-01-16,69.0
1995-02-08,0.0
1995-02-13,174.0
1995-03-11,0.0
1995-04-08,0.0
1995-04-16,0.0
1995-04-22,4.0
1995-04-23,4.0
1995-04-24,0.0
1995-05-01,0.0
1995-05-09,0.0
1995-05-10,2882.0
1995-05-12,1788.0
1995-05-13,52.0
1995-05-15,12614.0
1995-05-20,0.0
1995-05-21,0.0
1995-05-25,0.0
1995-05-27,3.0
1995-05-28,3.0
1995-05-29,0.0
1995-06-03,20.0
1995-06-07,0.0
1995-06-09,126.0
1995-06-11,0.0
1995-06-12,180.0
1995-07-02,32.0
1995-07-03,0.0
1995-07-09,8.0
1995-07-11,1.0
1995-07-12,63.0
1995-07-19,0.0
1995-07-25,0.0
1995-07-30,9.0
1995-07-31,80.0
1995-08-05,0.0
1995-08-12,0.0
1995-08-31,29.0
1995-09-10,1016.0
1995-09-11,10076.0
1995-09-15,231.0
1995-09-16,0.0
1995-09-17,9.0
1995-09-20,15.0
1995-09-25,4832.0
1995-09-28,0.0
1995-10-01,0.0
1995-10-11,0.0
1995-10-14,9.0
1995-10-17,24.0
1995-10-25,32.0
1995-11-05,0.0
1995-12-09,8745.0
1995-12-25,0.0
1996-01-01,40.0
1996-01-14,0.0
1996-01-18,32.0
1996-01-31,0.0
1996-02-11,0.0
1996-02-18,1.0
1996-03-02,3646.0
1996-03-10,0.0
1996-03-12,576.0
1996-03-23,24.0
1996-03-31,11.0
1996-04-03,87.0
1996-04-13,40.0
1996-04-14,3.0
1996-04-15,0.0
1996-04-20,0.0
1996-04-27,12.0
1996-05-01,9.0
1996-05-02,5.0
1996-05-04,0.0
1996-05-05,0.0
1996-05-09,12.0
1996-05-10,2075.0
1996-05-11,5.0
1996-05-12,38.0
1996-05-18,20.0
1996-05-19,0.0
1996-05-25,0.0
1996-05-31,0.0
1996-06-02,40.0
1996-06-04,0.0
1996-06-27,30.0
1996-07-02,25.0
1996-07-11,0.0
1996-07-15,0.0
1996-07-20,52.0
1996-07-28,1836.0
1996-08-15,6.0
1996-08-17,24.0
1996-08-18,6.0
1996-08-20,0.0
1996-08-22,0.0
1996-08-24,0.0
1996-09-05,4.0
1996-09-06,2.0
1996-09-08,632.0
1996-09-09,8330.0
1996-09-11,3.0
